,d_losses
0,1.6930315494537354
1,1.0066996812820435
2,0.4575500786304474
3,0.365603506565094
4,0.35990110039711
5,0.41612428426742554
6,0.2847071886062622
7,0.3677246570587158
8,0.16035033762454987
9,0.1944463551044464
10,0.12698882818222046
11,0.27714332938194275
12,0.1708795726299286
13,0.14906489849090576
14,0.20783978700637817
15,0.21812236309051514
16,0.10820004343986511
17,0.34896981716156006
18,0.27487581968307495
19,0.02725309319794178
20,1.3508942127227783
21,0.19142436981201172
22,0.46207934617996216
23,0.028159867972135544
24,0.8572709560394287
25,0.2047262340784073
26,0.07436219602823257
27,0.07589737325906754
28,3.113419532775879
29,1.1060744524002075
30,0.07004690170288086
31,0.11795108765363693
32,0.02768143266439438
33,2.089340925216675
34,0.30928701162338257
35,0.25512492656707764
36,0.25984007120132446
37,0.1306949257850647
38,3.166564464569092
39,0.4934229254722595
40,0.3365485668182373
41,0.1737569123506546
42,0.054651595652103424
43,0.29516664147377014
44,0.7543603777885437
45,0.20661047101020813
46,0.24855825304985046
47,0.06124091520905495
48,0.505683958530426
49,0.25854164361953735
50,0.1943594515323639
51,0.21738997101783752
52,0.11303690075874329
53,0.182506263256073
54,0.17865043878555298
55,0.2607048749923706
56,0.08417374640703201
57,0.2544623613357544
58,0.11090611666440964
59,0.29160332679748535
60,0.374303936958313
61,0.36514508724212646
62,0.22235333919525146
63,0.05347035825252533
64,1.0978703498840332
65,1.1929161548614502
66,0.1800972819328308
67,0.12916256487369537
68,0.0219777449965477
69,1.9941062927246094
70,1.5401184558868408
71,0.20605584979057312
72,0.4180868864059448
73,0.4531729221343994
74,0.8295181393623352
75,5.166136741638184
76,0.09635607898235321
77,3.4440391063690186
78,1.4123376607894897
79,0.6351629495620728
80,0.0365532711148262
81,0.20814800262451172
82,2.37107515335083
83,0.8503884673118591
84,0.5891003012657166
85,0.6618765592575073
86,0.2738097310066223
87,0.2984602749347687
88,0.3264281749725342
89,0.189981609582901
90,0.3450033962726593
91,0.4633762240409851
92,0.7187432050704956
93,0.547181248664856
94,0.5161266326904297
95,1.0333116054534912
96,1.5239920616149902
97,0.45935872197151184
98,0.850547730922699
99,0.6132511496543884
100,0.3445422053337097
101,0.455109566450119
102,0.4067230224609375
103,0.3662814795970917
104,0.4190405011177063
105,0.5519863963127136
106,0.7207658290863037
107,1.0745720863342285
108,0.29475024342536926
109,0.23599299788475037
110,0.3211461901664734
111,0.3958212733268738
