,g_losses
0,5.157750129699707
1,6.186141490936279
2,6.782028675079346
3,6.419569492340088
4,6.946146488189697
5,7.851924419403076
6,7.474130630493164
7,7.488656997680664
8,8.313406944274902
9,8.64991283416748
10,8.750978469848633
11,9.383928298950195
12,9.230531692504883
13,9.891865730285645
14,10.218058586120605
15,11.580911636352539
16,9.707192420959473
17,17.232074737548828
18,15.250482559204102
19,8.678964614868164
20,23.92940330505371
21,26.294578552246094
22,21.26822280883789
23,11.498711585998535
24,20.327003479003906
25,20.86638641357422
26,15.27987289428711
27,6.5887908935546875
28,25.683408737182617
29,28.10767364501953
30,26.306562423706055
31,20.03584098815918
32,9.507381439208984
33,23.53157615661621
34,26.279512405395508
35,23.129413604736328
36,14.89152717590332
37,5.928628921508789
38,24.68036651611328
39,27.825597763061523
40,26.406776428222656
41,21.108884811401367
42,12.72824764251709
43,8.908355712890625
44,20.559173583984375
45,21.930322647094727
46,17.42611312866211
47,9.507020950317383
48,14.975051879882812
49,14.030693054199219
50,9.356907844543457
51,9.74868106842041
52,10.214099884033203
53,9.688748359680176
54,9.438725471496582
55,12.813365936279297
56,10.260689735412598
57,13.52950382232666
58,11.017918586730957
59,8.33211898803711
60,17.89529037475586
61,16.47751808166504
62,11.170462608337402
63,5.582156658172607
64,24.804500579833984
65,24.078474044799805
66,20.54392433166504
67,14.440078735351562
68,6.507739067077637
69,24.68745231628418
70,23.538440704345703
71,15.544045448303223
72,12.835014343261719
73,6.550443649291992
74,21.158382415771484
75,8.618659973144531
76,2.35564923286438
77,19.569719314575195
78,19.836942672729492
79,14.907740592956543
80,9.111072540283203
81,4.603559970855713
82,14.682178497314453
83,11.46180534362793
84,5.274248123168945
85,9.568878173828125
86,8.840232849121094
87,5.4146270751953125
88,7.4163641929626465
89,6.981568336486816
90,5.080160140991211
91,5.7811784744262695
92,4.436310291290283
93,4.39505672454834
94,7.9490251541137695
95,1.1251457929611206
96,9.174080848693848
97,8.697620391845703
98,3.3818514347076416
99,4.338542938232422
100,5.680613040924072
101,3.5751216411590576
102,4.715214252471924
103,4.702211856842041
104,3.5897300243377686
105,5.217592239379883
106,2.6762919425964355
107,5.646518230438232
108,4.698620796203613
109,3.8495705127716064
110,4.551149368286133
111,3.7597408294677734
112,4.019472599029541
113,4.803243637084961
114,2.8164570331573486
115,6.797051429748535
116,0.37568914890289307
117,8.594335556030273
118,5.412966728210449
119,4.164906978607178
120,4.665207862854004
121,4.613337993621826
122,3.5604515075683594
123,4.854542255401611
124,4.497608661651611
125,4.113107681274414
126,4.3647356033325195
127,3.62304425239563
128,5.760900020599365
129,0.7479017376899719
130,9.576008796691895
131,3.612362861633301
132,2.575375556945801
133,5.07847785949707
134,3.193145990371704
135,4.362049579620361
136,3.0925488471984863
137,3.9241156578063965
138,4.408878326416016
139,3.4708595275878906
140,3.5138683319091797
141,4.13064432144165
142,3.4895548820495605
143,4.663989543914795
144,3.38381028175354
145,4.543817520141602
146,4.043793678283691
147,4.344338893890381
148,3.5907816886901855
149,5.123780727386475
150,3.613987684249878
151,5.529598236083984
152,3.7861385345458984
153,4.338469982147217
154,4.365528106689453
155,4.760161399841309
156,4.521029949188232
157,3.092222213745117
158,6.097368240356445
159,2.83841609954834
160,5.396693229675293
161,4.787301540374756
162,5.0999755859375
163,3.0759339332580566
164,7.841779708862305
165,3.7609028816223145
166,2.714862585067749
167,5.646461486816406
168,3.4043867588043213
169,5.278684139251709
170,3.8031256198883057
171,4.749579906463623
172,2.995231866836548
173,7.180263996124268
174,2.9835617542266846
175,7.112164497375488
176,2.935215473175049
177,6.864398956298828
178,1.4710307121276855
179,11.353898048400879
180,2.8436119556427
181,3.305103063583374
182,5.366151332855225
183,3.1260979175567627
184,6.035318374633789
185,5.3875651359558105
186,4.785910129547119
187,4.769763946533203
188,4.639997482299805
189,4.201900005340576
190,4.2297563552856445
191,4.186324119567871
192,4.512050628662109
193,3.331251859664917
194,4.5276336669921875
195,1.9200732707977295
196,8.228113174438477
197,7.256345272064209
198,3.1013879776000977
199,5.629458427429199
200,3.3340206146240234
201,4.759413719177246
202,4.977678298950195
203,3.537407159805298
204,4.174688339233398
205,4.365273475646973
206,3.4516172409057617
207,4.260790824890137
208,4.811282634735107
209,3.937345027923584
210,4.140205383300781
211,4.833952903747559
212,4.787196636199951
213,4.380865573883057
214,4.489477157592773
215,4.13904333114624
216,4.350432872772217
217,4.514413833618164
218,4.876445293426514
219,4.034058094024658
220,4.666832447052002
221,4.89008903503418
222,4.56314754486084
223,3.782810926437378
224,4.857949256896973
225,4.514500141143799
226,4.911288261413574
227,3.8300862312316895
228,5.30644416809082
229,5.575897216796875
230,4.922568321228027
231,4.532822132110596
232,5.100512504577637
233,3.9653429985046387
234,5.465468406677246
235,5.047604560852051
236,4.132781982421875
237,4.681263446807861
238,4.288674831390381
239,5.324487209320068
240,2.5106637477874756
241,11.137340545654297
242,1.9455909729003906
243,6.1264472007751465
244,4.82958459854126
245,3.5726349353790283
246,4.660104751586914
247,4.184898376464844
248,3.973139524459839
249,3.3022358417510986
250,3.8246607780456543
251,4.193326473236084
252,2.7047176361083984
253,5.891129493713379
254,2.8444571495056152
255,4.801718235015869
256,5.089608192443848
257,3.2964425086975098
258,5.207655429840088
259,3.0041537284851074
260,5.89599609375
261,1.8659883737564087
262,8.778729438781738
263,3.179504156112671
264,11.862906455993652
265,1.6552013158798218
266,5.553786754608154
267,2.9582409858703613
268,3.834853172302246
269,3.928090810775757
270,4.599836349487305
271,4.251532077789307
272,4.548621654510498
273,4.316766262054443
274,4.147941589355469
275,6.189209938049316
276,0.4391495883464813
277,8.549436569213867
278,5.3992156982421875
279,3.8967580795288086
280,5.441527366638184
281,3.7835988998413086
282,6.571117877960205
283,2.0606956481933594
284,9.862792015075684
285,4.402073383331299
286,4.77454948425293
287,5.5320563316345215
288,3.1357853412628174
289,5.0019612312316895
290,5.145486354827881
291,3.5331199169158936
292,4.571120262145996
293,4.162724018096924
294,3.7168736457824707
295,4.174882411956787
296,3.682948112487793
297,4.3780412673950195
298,3.63851261138916
299,4.542962551116943
300,4.098484992980957
301,4.44572639465332
302,4.845766544342041
303,4.0194597244262695
304,3.8241100311279297
305,6.37645149230957
306,1.3802120685577393
307,10.130393028259277
308,5.913849830627441
309,3.003598928451538
310,9.619154930114746
311,3.1375443935394287
312,7.05921745300293
313,1.785033941268921
314,7.284117698669434
315,6.859401702880859
316,4.172558307647705
317,4.661681652069092
318,4.263301849365234
319,4.475660800933838
320,4.739326000213623
321,4.306590557098389
322,4.106073379516602
323,6.586031436920166
324,1.8188387155532837
325,11.348546028137207
326,4.431183338165283
327,3.0717551708221436
328,6.435666561126709
329,4.541934967041016
330,3.261752128601074
331,4.370307922363281
332,4.493096351623535
333,2.08315372467041
334,6.006359100341797
335,1.5265363454818726
336,6.1716108322143555
337,1.204041600227356
338,6.511138916015625
339,4.180569171905518
340,2.661332130432129
341,6.442170143127441
342,2.1287617683410645
343,5.713276386260986
344,3.6553759574890137
345,3.654566526412964
346,3.954423189163208
347,5.257014274597168
348,1.3673371076583862
349,6.786013126373291
350,2.374927520751953
351,3.8979392051696777
352,2.6741602420806885
353,3.007354259490967
354,3.0021026134490967
355,4.180451393127441
356,3.0356650352478027
357,2.131277561187744
358,3.792485475540161
359,1.2675199508666992
360,5.657685279846191
361,2.467557907104492
362,2.947935104370117
363,4.090666770935059
364,2.038708209991455
365,5.3912353515625
366,1.2205896377563477
367,5.661783695220947
368,0.5112486481666565
369,5.887511730194092
370,2.6316826343536377
371,2.765526056289673
372,3.6754238605499268
373,2.4455089569091797
374,2.7942824363708496
375,3.6524977684020996
376,1.6495962142944336
377,4.554659843444824
378,2.380622625350952
379,2.8154959678649902
380,4.076400279998779
381,2.104288339614868
382,3.8451955318450928
383,2.261775493621826
384,4.250696182250977
385,1.2216572761535645
386,5.183928489685059
387,1.2742480039596558
388,3.583919048309326
389,2.6766085624694824
390,3.734504222869873
391,2.0573315620422363
392,5.152875900268555
393,0.9304103851318359
394,5.539875030517578
395,2.2928764820098877
396,3.5151500701904297
397,3.081167459487915
398,1.7494138479232788
399,4.83140754699707
400,1.525179386138916
401,5.845715045928955
402,0.9188573360443115
403,4.472246170043945
404,1.4028939008712769
405,2.498047351837158
406,2.6309523582458496
407,1.3839424848556519
408,3.1784379482269287
409,2.361816644668579
410,1.975951910018921
411,3.306704044342041
412,1.5858649015426636
413,3.1912317276000977
414,2.064584970474243
415,2.715827226638794
416,3.2193315029144287
417,2.172492027282715
418,3.184210777282715
419,2.637951612472534
420,3.3508429527282715
421,1.9844555854797363
422,4.495532035827637
423,0.3341321349143982
424,5.075228691101074
425,1.519924283027649
426,2.4250681400299072
427,2.9239749908447266
428,2.2231452465057373
429,3.062685251235962
430,2.3399569988250732
431,3.293288230895996
432,2.870007276535034
433,2.189727783203125
434,3.530879497528076
435,1.3610725402832031
436,4.592563152313232
437,1.477796196937561
438,3.6383185386657715
439,2.3860108852386475
440,2.793085813522339
441,3.0002427101135254
442,1.943204641342163
443,3.376859664916992
444,2.379607677459717
445,2.8195102214813232
446,2.7121708393096924
447,2.9327433109283447
448,2.4106693267822266
449,3.574185848236084
450,2.1064846515655518
451,4.885725498199463
452,0.8984681367874146
453,5.7554731369018555
454,1.2289581298828125
455,4.205948352813721
456,3.1220784187316895
457,1.903152346611023
458,4.0304951667785645
459,1.5292465686798096
460,3.829617738723755
461,2.0003137588500977
462,4.900190830230713
463,1.9182422161102295
464,4.8854660987854
465,2.6030116081237793
466,3.3182647228240967
467,3.0864906311035156
468,3.1717679500579834
469,2.429259777069092
470,3.3625268936157227
471,3.758497476577759
472,2.2018043994903564
473,4.093148708343506
474,2.62736177444458
475,3.29677414894104
476,3.2035999298095703
477,2.9606776237487793
478,2.846496820449829
479,3.409296751022339
480,2.0393226146698
481,4.49038553237915
482,0.5576216578483582
483,7.711971282958984
484,2.187295436859131
485,3.086287260055542
486,3.784144401550293
487,0.9220089316368103
488,4.738361835479736
489,1.160685658454895
490,2.935121774673462
491,3.375577449798584
492,2.2941694259643555
493,3.720336675643921
494,2.323209524154663
495,4.5471673011779785
496,1.4175336360931396
497,5.3614397048950195
498,1.6040189266204834
499,4.307826519012451
500,3.3944783210754395
501,2.8452837467193604
502,3.298491954803467
503,3.3273215293884277
504,1.960186243057251
505,4.290855407714844
506,1.6249053478240967
507,3.841805934906006
508,3.331281900405884
509,2.5485243797302246
510,4.049826622009277
511,1.4300446510314941
512,6.403374671936035
513,1.058534026145935
514,5.293988227844238
515,1.7779263257980347
516,4.065252304077148
517,3.485785484313965
518,2.1503870487213135
519,4.393973350524902
520,4.419650554656982
521,2.0771241188049316
522,4.103059768676758
523,2.7028534412384033
524,2.9989774227142334
525,2.7192153930664062
526,3.036773681640625
527,3.536464214324951
528,2.6029651165008545
529,3.4916489124298096
530,1.5405412912368774
531,4.239800453186035
532,1.2371565103530884
533,4.160454750061035
534,1.2237510681152344
535,5.4280171394348145
536,2.336575746536255
537,2.9955086708068848
538,2.9888668060302734
539,2.4031801223754883
540,4.391202449798584
541,2.493725299835205
542,4.247686862945557
543,1.190234661102295
544,7.239133358001709
545,2.382542848587036
546,3.2148849964141846
547,3.9561562538146973
548,2.311335802078247
549,3.827711343765259
550,3.2607266902923584
551,2.5761640071868896
552,3.9989676475524902
553,2.983067512512207
554,3.7699897289276123
555,2.1024208068847656
556,5.047260284423828
557,2.443779468536377
558,2.945552110671997
559,3.561267137527466
560,2.5144808292388916
561,3.7060515880584717
562,2.6528067588806152
563,3.7507266998291016
564,3.1047792434692383
565,2.8265841007232666
566,4.082493305206299
567,3.7999863624572754
568,1.706888198852539
569,7.129714488983154
570,0.629770040512085
571,6.4906392097473145
572,3.3510680198669434
573,3.479525327682495
574,3.4648704528808594
575,3.8356640338897705
576,3.971674680709839
577,2.478036880493164
578,5.536687850952148
579,1.3717151880264282
580,5.240505218505859
581,2.52140212059021
582,2.862574338912964
583,3.568911075592041
584,2.1286559104919434
585,4.672353744506836
586,2.1321377754211426
587,2.6679131984710693
588,4.625351905822754
589,3.2198381423950195
590,2.37241268157959
591,4.355590343475342
592,3.102327346801758
593,2.9020698070526123
594,3.719935894012451
595,3.5994415283203125
596,2.4180026054382324
597,3.8890180587768555
598,3.5208094120025635
599,2.7007250785827637
600,4.40325927734375
601,2.3496387004852295
602,4.384827136993408
603,2.5309276580810547
604,4.0852227210998535
605,3.0516200065612793
606,3.512765407562256
607,3.667591094970703
608,2.317368268966675
609,4.238483428955078
610,1.894944429397583
611,5.233666896820068
612,2.1437878608703613
613,4.817999362945557
